BAT_transcript BAT_logFC BAT_padj BRO_transcript BRO_logFC BRO_padj BGM_F_transcript BGM_F_logFC BGM_F_padj  BGM_M_transcript BGM_M_logFC BGM_M_padj OG
TRINITY_DN10244_c0_g1 3.86795424872828 3.43003564882201e-09 TRINITY_DN74294_c0_g1 1.9560234283268 9.70676005017266e-05 TRINITY_DN64944_c0_g1 3.01704551741063 3.51078262325588e-05 TRINITY_DN64944_c0_g1 7.24193507115181 3.32717983129808e-15 OG0003129
TRINITY_DN10850_c0_g4 -6.91301627926118 2.55777611060384e-17 TRINITY_DN89370_c0_g2 -9.21088397841643 1.10446686224485e-14 TRINITY_DN1456_c1_g1 -6.25541521013614 3.86469679867789e-09 TRINITY_DN1456_c1_g1 -2.71584006932062 6.97549125018162e-10 OG0003130
TRINITY_DN114740_c0_g1 0.634442122709159 0.0485074407412592 TRINITY_DN830_c1_g2 -0.39631664080513 0.197894199114093 TRINITY_DN1326_c3_g1 1.00669184765587 0.00592414844678028 TRINITY_DN1326_c3_g1 -1.49063220997017 2.52364731019879e-06 OG0003131
TRINITY_DN1199_c9_g1 -0.0394467124539288 0.916785488130106 TRINITY_DN4300_c1_g1 0.181532040928614 0.240964824777682 TRINITY_DN2633_c2_g1 -0.276559259453669 0.532117343908624 TRINITY_DN2633_c2_g1 -0.768122427661316 0.0255294976951564 OG0003132
TRINITY_DN1288_c0_g1 -2.73200925064659 2.07918742535258e-18 TRINITY_DN1153_c0_g1 -2.94628133560908 8.41285965946e-62 TRINITY_DN1243_c0_g1 -2.2249797874521 3.15556775938213e-26 TRINITY_DN1243_c0_g1 -3.44871559004615 4.56280459260805e-38 OG0003135
TRINITY_DN16288_c0_g1 0.539499584608235 0.0340865638554798 TRINITY_DN24148_c0_g2 0.677933913524397 1.08199137860136e-05 TRINITY_DN1816_c0_g2 0.127745730161195 0.690117426821729 TRINITY_DN1816_c0_g2 0.583909853720971 0.015146160179163 OG0003137
TRINITY_DN16939_c0_g1 0.315450589107647 0.56747148358707 TRINITY_DN175146_c0_g1 0.325467740250553 0.65067287552887 TRINITY_DN12499_c0_g1 0.361916354147964 0.567982930117245 TRINITY_DN12499_c0_g1 1.64569738288662 6.57916813149524e-05 OG0003138
TRINITY_DN172707_c0_g1 -2.08404297142736 4.30309387388985e-13 TRINITY_DN7497_c0_g2 -1.56514476620891 0.00581743544586265 TRINITY_DN78592_c0_g2 -1.50109490699206 1.11496513082399e-05 TRINITY_DN78592_c0_g2 -1.08820275254387 0.00463957763611229 OG0003139
TRINITY_DN17288_c2_g1 -6.40859600096844 4.84115968747928e-05 TRINITY_DN40908_c0_g1 -2.29625924845844 2.95327094429017e-05 TRINITY_DN16631_c1_g1 -0.0151581161612824 0.992444590915455 TRINITY_DN16631_c1_g1 -0.393514269775158 0.712862119178235 OG0003140
TRINITY_DN184136_c0_g2 5.76343257925877 0.000443554267959065 TRINITY_DN110491_c0_g2 2.83311542154935 7.93838946382997e-13 TRINITY_DN12658_c0_g1 2.47819250757282 5.68324122814605e-19 TRINITY_DN12658_c0_g1 -1.45734777133823 0.00062801739540999 OG0003142
TRINITY_DN18631_c0_g1 -0.140560559285343 0.825299198170577 TRINITY_DN49071_c0_g1 0.991083445953465 0.296439907403216 TRINITY_DN4767_c1_g2 -0.0356354386018235 0.946617866643034 TRINITY_DN4767_c1_g2 2.89169629480394 2.87381176026162e-28 OG0003143
TRINITY_DN1915_c2_g1 0.00781826705115003 0.977911935774959 TRINITY_DN760_c1_g2 0.444858119088896 0.010742613868187 TRINITY_DN243_c0_g3 0.252777206438848 0.22019356339359 TRINITY_DN243_c0_g3 0.662326698520013 6.34105704020273e-05 OG0003144
TRINITY_DN2093_c0_g1 2.56937591776962 6.49151642908465e-12 TRINITY_DN46061_c0_g1 2.59402029867885 3.01921368379963e-33 TRINITY_DN1808_c0_g1 2.72941161370018 2.38920522577322e-12 TRINITY_DN1808_c0_g1 3.88186862946219 1.00695720920529e-43 OG0003146
TRINITY_DN221_c0_g1 1.31373829690615 4.66057663641822e-13 TRINITY_DN291_c1_g3 1.04455427221345 1.81521407614988e-27 TRINITY_DN290_c2_g1 0.909876232933975 2.12459706132698e-07 TRINITY_DN290_c2_g1 2.09230474583351 5.77464702326634e-32 OG0003149
TRINITY_DN2254_c0_g1 0.245223567104422 0.224854061028329 TRINITY_DN3553_c0_g1 0.547374498622005 0.000182335531138067 TRINITY_DN6614_c0_g2 0.51658294662822 0.0013369273030679 TRINITY_DN6614_c0_g2 0.211930232363209 0.129394252732313 OG0003150
TRINITY_DN2299_c0_g1 2.34814036132394 1.4744980606975e-13 TRINITY_DN396_c0_g1 0.9217335877736 1.1632203159652e-05 TRINITY_DN18636_c0_g1 2.76222633619522 2.40599786474321e-22 TRINITY_DN18636_c0_g1 -1.55725089049327 0.000211879071651781 OG0003151
TRINITY_DN2374_c0_g1 -0.607884741532025 0.0159690020647183 TRINITY_DN9193_c2_g2 0.0992002216094962 0.800775102629109 TRINITY_DN6574_c2_g1 -0.307499272332752 0.553069959460415 TRINITY_DN6574_c2_g1 -0.691503736027209 0.0802244668868573 OG0003152
TRINITY_DN241932_c0_g1 -4.45006975742869 3.40217705780699e-05 TRINITY_DN294188_c0_g1 -6.83619594429741 7.25466832417277e-57 TRINITY_DN52651_c0_g1 -6.48075211509951 4.96173050390724e-32 TRINITY_DN52651_c0_g1 -3.13227888116487 3.49927646251954e-26 OG0003153
TRINITY_DN28760_c0_g1 -0.141320265532598 0.815298057341923 TRINITY_DN59995_c0_g1 -1.52596009223345 0.0350648949335906 TRINITY_DN34961_c0_g1 -0.839208876857988 0.559833161960837 TRINITY_DN34961_c0_g1 1.02874265332189 0.341149882934093 OG0003154
TRINITY_DN29089_c1_g1 0.876871256273036 0.000489923376376958 TRINITY_DN13177_c0_g2 0.660710293311988 3.90039149368417e-07 TRINITY_DN944_c1_g1 0.828082756877536 0.00172787850586685 TRINITY_DN944_c1_g1 3.82427095934973 6.71978901231623e-150 OG0003155
TRINITY_DN31171_c0_g1 -1.04736301261711 0.000115721472143168 TRINITY_DN62125_c2_g1 -3.68650178806344 8.28395886642647e-27 TRINITY_DN101_c5_g1 -0.352206109397629 0.184775139726188 TRINITY_DN101_c5_g1 0.0238200319539842 0.946952810897803 OG0003156
TRINITY_DN3494_c1_g2 -4.7673128300118 3.25874200762138e-52 TRINITY_DN517_c0_g1 -3.03721359247607 2.91145879934175e-47 TRINITY_DN27483_c0_g1 -2.83708131071685 8.50096773073824e-16 TRINITY_DN27483_c0_g1 -4.66206415570508 9.20281597834484e-101 OG0003158
TRINITY_DN35354_c0_g1 0.118661110012413 0.716749140171847 TRINITY_DN251_c5_g1 0.331690266436471 0.213792474803774 TRINITY_DN9290_c0_g2 -0.0984987010057981 0.747980938423333 TRINITY_DN9290_c0_g2 -0.245718824937974 0.323371896626168 OG0003159
TRINITY_DN36308_c0_g2 -0.556490819140258 0.32251064939167 TRINITY_DN8604_c2_g1 -0.693834758564375 0.0619486743677589 TRINITY_DN63965_c0_g3 -0.141246322658673 0.836245832224095 TRINITY_DN63965_c0_g3 0.281610723932983 0.495563397766492 OG0003160
TRINITY_DN3647_c0_g1 0.646868561503196 0.000639736612108392 TRINITY_DN326_c1_g1 1.14141457266385 1.77005451228158e-22 TRINITY_DN690_c2_g1 0.674384275096979 2.93024551296431e-05 TRINITY_DN690_c2_g1 0.55938605414432 0.00054693884824948 OG0003161
TRINITY_DN3769_c0_g4 2.80672155132175 7.18594352479618e-24 TRINITY_DN2424_c0_g1 3.77107447026145 2.27032226726699e-69 TRINITY_DN2865_c1_g4 2.76769751066971 2.73826298483267e-38 TRINITY_DN2865_c1_g4 0.564150113937882 0.111435206385282 OG0003162
TRINITY_DN3938_c0_g1 0.219848727211426 0.483339360676413 TRINITY_DN1959_c2_g1 0.516261752998097 0.0155898432408499 TRINITY_DN2944_c3_g1 0.255319423933928 0.304472156641998 TRINITY_DN2944_c3_g1 1.03512420641091 2.07502149245969e-07 OG0003164
TRINITY_DN40125_c0_g1 1.52472912507953 2.71460451866784e-09 TRINITY_DN6521_c2_g1 0.923672133635121 0.000298066718633548 TRINITY_DN1106_c7_g1 1.72978346760627 2.98895286957513e-20 TRINITY_DN1106_c7_g1 1.45435649321461 6.69055159310497e-11 OG0003165
TRINITY_DN4041_c0_g2 0.260987672131168 0.310182753611567 TRINITY_DN15523_c0_g1 0.422622139789769 0.000103887776593483 TRINITY_DN2683_c0_g3 -0.120089018086996 0.561450158623741 TRINITY_DN2683_c0_g3 -0.133913934248887 0.509122660147446 OG0003166
TRINITY_DN4202_c1_g1 -0.283334282283461 0.269959396911247 TRINITY_DN15866_c0_g1 0.222044069141523 0.421361340715486 TRINITY_DN9095_c0_g1 -0.0548735598402858 0.882693169048555 TRINITY_DN9095_c0_g1 -0.626228062048131 0.0210485349663496 OG0003168
TRINITY_DN4238_c0_g1 -1.10889094736274 2.99603541894562e-07 TRINITY_DN118_c14_g1 -0.94679889119614 1.12673367841049e-05 TRINITY_DN6938_c0_g1 -0.61464554236926 0.0923984827492924 TRINITY_DN6938_c0_g1 -0.859702846185534 0.0038803860744972 OG0003169
TRINITY_DN548_c4_g1 -0.0101975093946678 0.982202839267569 TRINITY_DN2629_c0_g2 -0.123431141364894 0.520076279766718 TRINITY_DN4446_c4_g1 1.54132058892845 3.5546400404618e-11 TRINITY_DN4446_c4_g1 0.288960883041434 0.201979614236837 OG0003170
TRINITY_DN5729_c0_g2 1.9717705444998 2.74062452993356e-19 TRINITY_DN518_c3_g1 2.30936055259226 2.70830201350366e-32 TRINITY_DN1196_c0_g3 1.50947921937543 1.18200830811216e-15 TRINITY_DN1196_c0_g3 1.46993676547923 1.10062348863306e-10 OG0003171
TRINITY_DN61819_c0_g1 -2.93339413353892 0.0212304396603329 TRINITY_DN7284_c0_g1 -7.08637180326267 8.04784637268624e-08 TRINITY_DN4376_c0_g1 -5.21490087734395 8.15797784349392e-06 TRINITY_DN4376_c0_g1 -8.74634384356819 6.80759494660402e-08 OG0003172
TRINITY_DN62113_c0_g2 1.54059482785297 0.00659870298555979 TRINITY_DN740_c4_g1 -0.00801127464242438 0.98341057376995 TRINITY_DN9377_c0_g1 -0.0993142468098723 0.870008861152699 TRINITY_DN9377_c0_g1 -3.52329380191231 2.36219530453649e-11 OG0003173
TRINITY_DN62157_c2_g1 -6.80446730148334 1.26864183686829e-09 TRINITY_DN158119_c0_g2 -7.9814284831725 2.06024821329562e-10 TRINITY_DN155_c2_g1 -3.78888179252955 1.04602327013713e-11 TRINITY_DN155_c2_g1 -5.10222478624025 7.87002122989128e-37 OG0003174
TRINITY_DN652_c0_g1 0.269916056990219 0.186723270189379 TRINITY_DN205_c0_g1 1.06473526984097 1.19987564363303e-31 TRINITY_DN11493_c0_g1 0.553379691059559 0.00134226991932201 TRINITY_DN11493_c0_g1 1.23218843352799 9.54919429088075e-10 OG0003175
TRINITY_DN65388_c0_g2 1.85164743181763 0.0794834052150068 TRINITY_DN93669_c0_g1 0.461493585423601 0.722523204267518 TRINITY_DN63316_c0_g1 3.78148044478042 0.000287543981318401 TRINITY_DN63316_c0_g1 4.86369525397285 3.60368524291306e-37 OG0003176
TRINITY_DN71498_c0_g1 -0.921944198414493 4.55220404324358e-06 TRINITY_DN94685_c0_g2 -0.790744583869848 5.15934573838798e-07 TRINITY_DN1849_c0_g1 -0.691685694174214 3.39914375555965e-06 TRINITY_DN1849_c0_g1 -1.4550834693798 3.99359066154906e-14 OG0003178
TRINITY_DN737_c0_g1 -0.658263108477761 0.00379237113622536 TRINITY_DN362_c1_g1 -0.0744005416594818 0.673218808272705 TRINITY_DN158_c2_g1 -0.567105723967149 0.00132894802648523 TRINITY_DN158_c2_g1 -2.42070928576831 2.36870070812983e-14 OG0003179
TRINITY_DN76614_c0_g2 0.547871888596425 0.0692721247712042 TRINITY_DN12998_c0_g1 -0.0866745204239148 0.751280700839896 TRINITY_DN4736_c0_g2 0.198606587022693 0.505766969331384 TRINITY_DN4736_c0_g2 2.97880286204436 7.87281044092764e-56 OG0003180
TRINITY_DN8527_c0_g1 5.1863634688424 7.88453575776033e-24 TRINITY_DN1567_c1_g1 3.78592910980733 1.76786778949479e-07 TRINITY_DN14356_c1_g2 4.92327403852212 5.48907284158467e-27 TRINITY_DN14356_c1_g2 1.27787068626938 0.0230873001841399 OG0003182
TRINITY_DN9260_c1_g1 -0.277004664086197 0.616780138428633 TRINITY_DN1493_c1_g1 0.0301003284604258 0.905226592827968 TRINITY_DN1437_c0_g1 0.178438112013103 0.625974257937545 TRINITY_DN1437_c0_g1 1.79042731323735 1.67349425323659e-23 OG0003185
TRINITY_DN9949_c0_g1 0.559324730457693 0.00127435591560706 TRINITY_DN10710_c0_g1 0.515779241269327 0.000601475754618309 TRINITY_DN27346_c0_g1 -0.0435533656576502 0.929859717909065 TRINITY_DN27346_c0_g1 0.383145545455308 0.0856655911111108 OG0003186
TRINITY_DN10078_c0_g1 1.37035236597615 5.63543336041397e-11 TRINITY_DN91_c9_g1 1.7259358895467 4.20140568481315e-29 TRINITY_DN1073_c1_g1 1.10620153999595 9.07227568958851e-17 TRINITY_DN1073_c1_g1 -1.77716627983066 3.22411496953834e-18 OG0003187
TRINITY_DN10837_c0_g1 1.45809698392073 3.41730031168671e-07 TRINITY_DN78624_c0_g1 2.19504956554426 3.74835793210443e-15 TRINITY_DN17620_c0_g1 1.69874804492094 0.0161813298001552 TRINITY_DN17620_c0_g1 2.65071138879426 1.8114444253037e-11 OG0003188
TRINITY_DN11585_c0_g1 0.368696040164983 0.595835909669886 TRINITY_DN1260_c5_g1 0.749529128286702 4.60444198938824e-07 TRINITY_DN6526_c1_g3 0.34867138269116 0.189327721489782 TRINITY_DN6526_c1_g3 -0.450921408063469 0.0599252580170628 OG0003189
TRINITY_DN1260_c0_g1 -0.0717630540034677 0.843020920171865 TRINITY_DN6201_c0_g1 -0.394389131690148 0.0197321903453802 TRINITY_DN189_c1_g1 -0.025975591481467 0.925940877017453 TRINITY_DN189_c1_g1 -0.55121592027396 0.0713914281261321 OG0003190
TRINITY_DN13860_c1_g1 0.548605179383451 0.0157183639982204 TRINITY_DN800_c1_g1 -0.179463016059282 0.197769994069452 TRINITY_DN895_c0_g1 -0.265801927028252 0.36657488282844 TRINITY_DN895_c0_g1 1.05466902989785 3.67379984478197e-07 OG0003191
TRINITY_DN14756_c0_g2 -0.381935330440505 0.320347451182789 TRINITY_DN2652_c0_g1 -0.0849551485724337 0.593426728331857 TRINITY_DN31685_c0_g1 -0.433463350193343 0.0457597378936557 TRINITY_DN31685_c0_g1 -1.01079597044629 2.4365047490402e-05 OG0003192
TRINITY_DN1515_c0_g1 1.48113589251503 5.03480646621761e-08 TRINITY_DN65468_c1_g2 1.38251937075643 0.000119156136271288 TRINITY_DN5978_c1_g1 1.16490446486267 0.000879366505568776 TRINITY_DN5978_c1_g1 -5.8099690837251 9.71272735292103e-19 OG0003193
TRINITY_DN15270_c0_g1 -0.257155585544308 0.428706088331953 TRINITY_DN7462_c1_g1 -0.110401585657626 0.53474038045372 TRINITY_DN80540_c0_g4 0.381731187397622 0.139458031564239 TRINITY_DN80540_c0_g4 1.49743259386288 2.73444873980424e-16 OG0003194
TRINITY_DN1531_c2_g1 0.939734209430799 6.67870637031836e-09 TRINITY_DN18605_c0_g1 0.285301141306824 0.0642220833321889 TRINITY_DN518_c2_g1 0.628569314581614 3.56853636393864e-07 TRINITY_DN518_c2_g1 1.23131386663053 3.7959525380136e-27 OG0003195
TRINITY_DN16085_c0_g1 -0.0513431872381076 0.841514521110791 TRINITY_DN5537_c0_g1 0.222515286779133 0.243043377674239 TRINITY_DN13073_c0_g1 -0.106013294665832 0.559277215883688 TRINITY_DN13073_c0_g1 -0.619484440999596 0.00233727679816454 OG0003196
TRINITY_DN16583_c0_g1 -3.99057922398833 0.000781869828456515 TRINITY_DN487_c3_g1 -2.08633365941876 0.00135865147647395 TRINITY_DN1062_c12_g1 -1.4818156906052 0.207563565968341 TRINITY_DN1062_c12_g1 0.534812535423373 0.488079561437067 OG0003198
TRINITY_DN1719_c0_g1 0.0879779284297632 0.697840819456656 TRINITY_DN34875_c0_g1 0.59562740647194 6.28137043565082e-05 TRINITY_DN376_c1_g1 0.131836695986858 0.583722987472726 TRINITY_DN376_c1_g1 2.53701023798069 9.10832876490355e-61 OG0003199
TRINITY_DN18862_c1_g2 0.273993608915751 0.418463532980953 TRINITY_DN20594_c0_g1 0.832618521257465 0.0302436976132632 TRINITY_DN1442_c0_g1 0.242104435227013 0.352420811608183 TRINITY_DN1442_c0_g1 -0.769125394013058 0.000338887867876927 OG0003200
TRINITY_DN2033_c0_g1 0.14184357559129 0.550167218424625 TRINITY_DN2715_c0_g4 0.520198257833905 4.7514419186629e-05 TRINITY_DN415_c6_g1 0.395269093528908 0.0655596701741596 TRINITY_DN415_c6_g1 -0.33274750574807 0.103414672260932 OG0003201
TRINITY_DN20919_c1_g1 -0.905276169676898 7.69819740021833e-07 TRINITY_DN20_c1_g1 -0.657294401617083 0.00107453443205465 TRINITY_DN17580_c0_g1 -0.303304715099934 0.233281030433344 TRINITY_DN17580_c0_g1 -0.908191282258292 0.000167785728744382 OG0003202
TRINITY_DN209581_c0_g2 3.01738527553857 0.0389700268400116 TRINITY_DN121848_c0_g1 1.24066404855308 0.242582080257817 TRINITY_DN34480_c1_g1 1.76256031076787 0.358080286346375 TRINITY_DN34480_c1_g1 11.2050897497989 4.98673159589541e-27 OG0003203
TRINITY_DN22983_c0_g1 1.80852964764514 3.15523448291759e-36 TRINITY_DN1084_c0_g1 1.61245716876432 1.040681401952e-22 TRINITY_DN1578_c0_g1 1.24403931630127 6.03397959048818e-12 TRINITY_DN1578_c0_g1 -1.16286229333627 1.14734771381351e-08 OG0003205
TRINITY_DN2323_c3_g1 1.38167878829237 1.03188477159792e-09 TRINITY_DN1577_c2_g1 0.755442279937573 3.05782229712018e-05 TRINITY_DN12121_c0_g1 1.18525753921038 1.04943916167392e-09 TRINITY_DN12121_c0_g1 1.09395784255189 3.90853064023592e-07 OG0003207
TRINITY_DN2722_c0_g1 0.0480779917668645 0.898134933951173 TRINITY_DN2486_c0_g2 0.618040089249928 0.00260129361627862 TRINITY_DN4269_c1_g1 0.0172209916267045 0.969052725187007 TRINITY_DN4269_c1_g1 1.57106094805686 3.44913033113289e-16 OG0003208
TRINITY_DN2863_c0_g1 0.872339073429477 4.89569712080655e-07 TRINITY_DN824_c0_g2 0.873376735837926 7.16657835896622e-14 TRINITY_DN3860_c0_g2 0.801948564671035 9.42859934294626e-07 TRINITY_DN3860_c0_g2 0.197642536665003 0.278587614918968 OG0003209
TRINITY_DN296034_c0_g1 -3.1980762244139 0.00788546320921459 TRINITY_DN212040_c0_g1 -4.40204214099415 0.00636156303195382 TRINITY_DN220420_c0_g1 -2.90713098271861 8.02814114153783e-06 TRINITY_DN220420_c0_g1 -4.12675522298682 4.90103289850627e-12 OG0003210
TRINITY_DN3067_c1_g1 -1.95323661742389 0.0705639571051829 TRINITY_DN3089_c1_g1 -1.78731687503933 0.0015285113130442 TRINITY_DN25256_c2_g4 -0.274519214361026 0.760176136698642 TRINITY_DN25256_c2_g4 -3.51770224940982 1.10316336387426e-08 OG0003212
TRINITY_DN3208_c0_g1 0.554407380507378 0.117917527632679 TRINITY_DN5670_c2_g1 0.837679533560374 4.07657693184155e-06 TRINITY_DN4900_c2_g1 1.09700994315921 1.52273632310339e-05 TRINITY_DN4900_c2_g1 0.0734674226102708 0.799140980258708 OG0003213
TRINITY_DN3312_c0_g1 -0.847219220516418 0.000166263173804183 TRINITY_DN7856_c0_g1 -1.37133702639969 1.05348242083929e-15 TRINITY_DN3185_c0_g1 -0.833404162748565 4.01449574702661e-07 TRINITY_DN3185_c0_g1 -1.15101377192516 2.27075657083368e-10 OG0003214
TRINITY_DN3690_c1_g1 -0.701944685318932 3.73179349681223e-05 TRINITY_DN132_c0_g1 -0.223878001967197 0.0261282592155173 TRINITY_DN933_c0_g1 -0.473497883332959 0.00743650354847504 TRINITY_DN933_c0_g1 -1.06545887637642 7.1953100595929e-09 OG0003215
TRINITY_DN4278_c0_g1 -6.84198388050899 1.70747883690797e-31 TRINITY_DN178_c8_g1 -6.74691026037228 9.27365429090374e-26 TRINITY_DN455_c1_g2 -6.09588198807404 3.62847675648151e-24 TRINITY_DN455_c1_g2 -3.83566599812995 3.75987571777477e-28 OG0003217
TRINITY_DN45460_c0_g2 0.677425565953934 0.0392884487273834 TRINITY_DN7737_c0_g2 0.822102757227825 0.027054178275217 TRINITY_DN2743_c0_g1 0.270514826109186 0.567483698846003 TRINITY_DN2743_c0_g1 4.31958836353063 6.50484310751238e-50 OG0003218
TRINITY_DN4804_c0_g1 -1.06151758415733 4.84115968747928e-05 TRINITY_DN34270_c0_g1 -0.91997575191124 0.00102331417812458 TRINITY_DN3928_c0_g4 -0.436865228620063 0.0693198858142235 TRINITY_DN3928_c0_g4 -3.68889199437373 5.79883809529873e-36 OG0003220
