OG PHY BAT BRO BGM
OG0002804 0.55538024850338674199 0.01583945623155201543 0.01593909342127197010 0.27653860891588688542
OG0002805 0.22124866279760505017 0.24045871040909738703 0.03638688670222595817 0.00000100000050002909
OG0002806 0.58883317310010496737 0.68366452734295402038 0.00000100000050002909 0.07984034350215163389
OG0002810 0.88152054025787396352 0.50415792522366764672 0.03829897241724007639 0.02318837641171562353
OG0002813 0.08103735651240222271 0.00000100000050002909 0.04345632484443220228 0.15358374630042609388
OG0002817 0.39618402962094456665 0.03206493921946953346 0.85176632969927446037 0.06430126489042128912
OG0002821 0.78512638963727432451 0.05049624884436532124 0.46789744488321038940 0.03347003062167545895
OG0002823 2.13304368089578977319 0.00000100000050002909 1.03694141268727157978 0.39042036713248817748
OG0002824 0.00000100000050002909 0.44483308978664015676 0.13009910021551140957 0.56408611676757758335
OG0002825 0.09121637019108920497 0.88812341018883411703 0.00367967375057592309 0.01909993227273302716
OG0002826 0.22601647742105446248 0.88164692986078940784 0.33381929715978020390 0.00607451900255721270
OG0002827 0.17886589280195369644 0.02026040057620255574 0.20660412939775182894 0.02698209965166755916
OG0002830 0.83498110954540993855 0.00000100000050002909 0.36152707665524014269 0.00000100000050002909
OG0002831 0.51007055092884834302 0.00000100000050002909 0.10553841458377651030 0.00000100000050002909
OG0002834 0.88332232814638289575 0.00000100000050002909 0.00000100000050002909 0.00000100000050002909
OG0002835 0.00000100000050002909 2.01243167884349860586 0.04389024436716183059 0.00000100000050002909
OG0002837
OG0002838 2.31902411806374697534 0.00000100000050002909 0.00000100000050002909 0.00000100000050002909
OG0002841 6.62862884071282021381 2.76864035861262625104 0.05243648413526980079 0.00000100000050002909
OG0002847
OG0002849 0.21642670265433822108 0.93843530759802396002 0.05129400376618687557 0.20607557949849314438
OG0002855 0.79795759410921696109 0.19540005705341398357 0.00000100000050002909 0.04459116176240077861
OG0002862
OG0002864 0.16350087733596632700 0.90152537677421462625 1.39861218409114651529 0.08449030143218204392
OG0002877 0.43267947768420794707 0.25848733621795061399 0.06796463114357341462 0.76890217676199934527
OG0002880 0.07355471126662457837 0.02404287066492347136 0.05327814623415770556 0.79487241414483333912
OG0002884 1.83622765265342802188 0.00000100000050002909 0.00000100000050002909 1.37155714550536456109
OG0002885 0.17817485672858043855 1.12105303079853291237 0.00000100000050002909 0.00000100000050002909
OG0002886 0.52650439042311225624 0.00918352209485082116 0.05168348966261328281 0.01830515125199270662
OG0002890
OG0002895 1.25713005870141736331 0.01707413594672948370 0.01194862421465282126 0.51155714176794575554
