OG0002803 GCPM01007880.1 TRINITY_DN52612_c0_g1_i1 TRINITY_DN10683_c0_g1_i1 TRINITY_DN86526_c0_g3_i2
OG0002804 GCPM01039034.1 TRINITY_DN89370_c0_g2_i1 TRINITY_DN10850_c0_g4_i4 TRINITY_DN1456_c1_g1_i1
OG0002805 GCPM01036935.1 TRINITY_DN4300_c1_g1_i5 TRINITY_DN1199_c9_g1_i1 TRINITY_DN2633_c2_g1_i1
OG0002806 GCPM01012986.1 TRINITY_DN1153_c0_g1_i1 TRINITY_DN1288_c0_g1_i8 TRINITY_DN1243_c0_g1_i6
OG0002808 GCPM01009151.1 TRINITY_DN175146_c0_g1_i1 TRINITY_DN16939_c0_g1_i3 TRINITY_DN12499_c0_g1_i5
OG0002810 GCPM01016652.1 TRINITY_DN7497_c0_g2_i7 TRINITY_DN172707_c0_g1_i5 TRINITY_DN78592_c0_g2_i3
OG0002811 GCPM01011767.1 TRINITY_DN40908_c0_g1_i1 TRINITY_DN17288_c2_g1_i1 TRINITY_DN16631_c1_g1_i7
OG0002813 GCPM01038598.1 TRINITY_DN3553_c0_g1_i11 TRINITY_DN2254_c0_g1_i4 TRINITY_DN6614_c0_g2_i45
OG0002815 GCPM01016800.1 TRINITY_DN396_c0_g1_i1 TRINITY_DN2299_c0_g1_i6 TRINITY_DN18636_c0_g1_i4
OG0002817 GCPM01011074.1 TRINITY_DN9193_c2_g2_i3 TRINITY_DN2374_c0_g1_i1 TRINITY_DN6574_c2_g1_i1
OG0002818 GCPM01036842.1 TRINITY_DN62125_c2_g1_i1 TRINITY_DN31171_c0_g1_i4 TRINITY_DN101_c5_g1_i1
OG0002819 GCPM01038286.1 TRINITY_DN517_c0_g1_i1 TRINITY_DN3494_c1_g2_i1 TRINITY_DN27483_c0_g1_i2
OG0002820 GCPM01038754.1 TRINITY_DN251_c5_g1_i6 TRINITY_DN35354_c0_g1_i12 TRINITY_DN9290_c0_g2_i9
OG0002821 GCPM01015633.1 TRINITY_DN326_c1_g1_i1 TRINITY_DN3647_c0_g1_i3 TRINITY_DN690_c2_g1_i1
OG0002822 GCPM01007894.1 TRINITY_DN7457_c0_g3_i2 TRINITY_DN3760_c0_g2_i1 TRINITY_DN26652_c0_g1_i2
OG0002823 GCPM01040219.1 TRINITY_DN1959_c2_g1_i1 TRINITY_DN3938_c0_g1_i2 TRINITY_DN2944_c3_g1_i1
OG0002824 GCPM01015771.1 TRINITY_DN6521_c2_g1_i1 TRINITY_DN40125_c0_g1_i4 TRINITY_DN1106_c7_g1_i3
OG0002825 GCPM01034493.1 TRINITY_DN15523_c0_g1_i2 TRINITY_DN4041_c0_g2_i1 TRINITY_DN2683_c0_g3_i1
OG0002826 GCPM01014338.1 TRINITY_DN15866_c0_g1_i9 TRINITY_DN4202_c1_g1_i1 TRINITY_DN9095_c0_g1_i1
OG0002827 GCPM01014501.1 TRINITY_DN118_c14_g1_i1 TRINITY_DN4238_c0_g1_i2 TRINITY_DN6938_c0_g1_i5
OG0002829 GCPM01033013.1 TRINITY_DN7284_c0_g1_i3 TRINITY_DN61819_c0_g1_i3 TRINITY_DN4376_c0_g1_i9
OG0002830 GCPM01038951.1 TRINITY_DN205_c0_g1_i1 TRINITY_DN652_c0_g1_i5 TRINITY_DN11493_c0_g1_i8
OG0002831 GCPM01014425.1 TRINITY_DN94685_c0_g2_i4 TRINITY_DN71498_c0_g1_i3 TRINITY_DN1849_c0_g1_i11
OG0002832 GCPM01014870.1 TRINITY_DN12998_c0_g1_i3 TRINITY_DN76614_c0_g2_i2 TRINITY_DN4736_c0_g2_i2
OG0002834 GCPM01009984.1 TRINITY_DN10710_c0_g1_i6 TRINITY_DN9949_c0_g1_i15 TRINITY_DN27346_c0_g1_i12
OG0002835 GCPM01013697.1 TRINITY_DN91_c9_g1_i1 TRINITY_DN10078_c0_g1_i2 TRINITY_DN1073_c1_g1_i2
OG0002837 GCPM01010355.1 TRINITY_DN6201_c0_g1_i4 TRINITY_DN1260_c0_g1_i4 TRINITY_DN189_c1_g1_i2
OG0002838 GCPM01035240.1 TRINITY_DN2652_c0_g1_i10 TRINITY_DN14756_c0_g2_i7 TRINITY_DN31685_c0_g1_i2
OG0002840 GCPM01040428.1 TRINITY_DN65468_c1_g2_i1 TRINITY_DN1515_c0_g1_i2 TRINITY_DN5978_c1_g1_i1
